"_date","station","lng_type","time_group","ke","oal"
2021-04-24,ICN,FR,BK,1,0
2021-04-24,ICN,FR,DN,3,0
2021-04-24,ICN,MR,BK,17,0
2021-04-24,ICN,MR,DN,7,0
2021-04-24,ICN,MR,LN,3,0
2021-04-24,ICN,PR,BK,53,24
2021-04-24,ICN,PR,DN,22,7
2021-04-24,ICN,PR,LN,22,7
2021-04-25,ICN,FR,BK,3,0
2021-04-25,ICN,FR,DN,1,0
2021-04-25,ICN,MR,BK,11,0
2021-04-25,ICN,MR,DN,7,0
2021-04-25,ICN,MR,LN,3,0
2021-04-25,ICN,PR,BK,67,4
2021-04-25,ICN,PR,DN,29,8
2021-04-25,ICN,PR,LN,41,15
2021-04-26,ICN,FR,BK,3,0
2021-04-26,ICN,FR,LN,3,0
2021-04-26,ICN,MR,BK,2,0
2021-04-26,ICN,MR,DN,1,0
2021-04-26,ICN,MR,LN,4,0
2021-04-26,ICN,PR,BK,33,0
2021-04-26,ICN,PR,DN,13,7
2021-04-26,ICN,PR,LN,32,1
2021-04-27,ICN,FR,DN,2,0
2021-04-27,ICN,MR,LN,1,0
2021-04-27,ICN,PR,BK,22,6
2021-04-27,ICN,PR,DN,23,17
2021-04-27,ICN,PR,LN,53,6
2021-04-28,ICN,FR,BK,3,0
2021-04-28,ICN,FR,LN,2,0
2021-04-28,ICN,MR,BK,8,0
2021-04-28,ICN,MR,DN,5,0
2021-04-28,ICN,MR,LN,5,0
2021-04-28,ICN,PR,BK,124,4
2021-04-28,ICN,PR,DN,40,0
2021-04-28,ICN,PR,LN,42,7
2021-04-29,ICN,FR,BK,2,0
2021-04-29,ICN,FR,DN,2,0
2021-04-29,ICN,FR,LN,1,0
2021-04-29,ICN,MR,BK,10,0
2021-04-29,ICN,MR,DN,3,0
2021-04-29,ICN,MR,LN,1,0
2021-04-29,ICN,PR,BK,62,7
2021-04-29,ICN,PR,DN,30,18
2021-04-29,ICN,PR,LN,34,9
2021-04-30,ICN,FR,DN,1,0
2021-04-30,ICN,FR,LN,3,0
2021-04-30,ICN,MR,BK,13,0
2021-04-30,ICN,MR,DN,3,0
2021-04-30,ICN,MR,LN,10,0
2021-04-30,ICN,PR,BK,74,15
2021-04-30,ICN,PR,DN,36,8
2021-04-30,ICN,PR,LN,101,7
2021-05-01,ICN,FR,BK,2,0
2021-05-01,ICN,FR,DN,3,0
2021-05-01,ICN,MR,BK,6,0
2021-05-01,ICN,MR,DN,2,0
2021-05-01,ICN,PR,BK,80,11
2021-05-01,ICN,PR,DN,32,19
2021-05-01,ICN,PR,LN,46,3
2021-05-02,ICN,FR,BK,1,0
2021-05-02,ICN,FR,DN,1,0
2021-05-02,ICN,FR,LN,5,0
2021-05-02,ICN,MR,BK,17,0
2021-05-02,ICN,MR,DN,8,0
2021-05-02,ICN,MR,LN,4,0
2021-05-02,ICN,PR,BK,78,24
2021-05-02,ICN,PR,DN,41,4
2021-05-02,ICN,PR,LN,35,8
2021-05-03,ICN,FR,BK,1,0
2021-05-03,ICN,MR,BK,6,0
2021-05-03,ICN,MR,DN,1,0
2021-05-03,ICN,MR,LN,3,2
2021-05-03,ICN,PR,BK,29,8
2021-05-03,ICN,PR,DN,32,11
2021-05-03,ICN,PR,LN,38,1
2021-05-04,ICN,FR,BK,2,0
2021-05-04,ICN,FR,DN,1,0
2021-05-04,ICN,FR,LN,2,0
2021-05-04,ICN,MR,BK,2,0
2021-05-04,ICN,MR,DN,3,0
2021-05-04,ICN,MR,LN,3,0
2021-05-04,ICN,PR,BK,33,6
2021-05-04,ICN,PR,DN,37,8
2021-05-04,ICN,PR,LN,29,6
2021-05-05,ICN,FR,BK,5,0
2021-05-05,ICN,FR,LN,3,0
2021-05-05,ICN,MR,BK,16,0
2021-05-05,ICN,MR,DN,3,0
2021-05-05,ICN,MR,LN,6,0
2021-05-05,ICN,PR,BK,111,0
2021-05-05,ICN,PR,DN,25,0
2021-05-05,ICN,PR,LN,54,5
2021-05-06,ICN,FR,DN,2,0
2021-05-06,ICN,FR,LN,1,0
2021-05-06,ICN,MR,BK,2,0
2021-05-06,ICN,MR,DN,2,0
2021-05-06,ICN,MR,LN,1,0
2021-05-06,ICN,PR,BK,35,10
2021-05-06,ICN,PR,DN,39,14
2021-05-06,ICN,PR,LN,28,8
2021-05-07,ICN,FR,BK,2,0
2021-05-07,ICN,FR,DN,2,0
2021-05-07,ICN,MR,BK,12,0
2021-05-07,ICN,MR,DN,8,0
2021-05-07,ICN,MR,LN,1,0
2021-05-07,ICN,PR,BK,74,13
2021-05-07,ICN,PR,DN,26,0
2021-05-07,ICN,PR,LN,57,8
2021-05-08,ICN,FR,BK,3,0
2021-05-08,ICN,FR,DN,2,0
2021-05-08,ICN,MR,BK,11,0
2021-05-08,ICN,MR,DN,4,0
2021-05-08,ICN,MR,LN,4,0
2021-05-08,ICN,PR,BK,69,16
2021-05-08,ICN,PR,DN,21,19
2021-05-08,ICN,PR,LN,45,5
2021-05-09,ICN,FR,LN,3,0
2021-05-09,ICN,MR,BK,9,0
2021-05-09,ICN,MR,DN,4,0
2021-05-09,ICN,MR,LN,9,0
2021-05-09,ICN,PR,BK,72,10
2021-05-09,ICN,PR,DN,36,0
2021-05-09,ICN,PR,LN,47,5
2021-05-10,ICN,FR,BK,1,0
2021-05-10,ICN,FR,DN,5,0
2021-05-10,ICN,FR,LN,3,0
2021-05-10,ICN,MR,BK,5,0
2021-05-10,ICN,MR,DN,7,0
2021-05-10,ICN,MR,LN,5,0
2021-05-10,ICN,PR,BK,52,10
2021-05-10,ICN,PR,DN,26,23
2021-05-10,ICN,PR,LN,21,3
2021-05-11,ICN,MR,BK,1,0
2021-05-11,ICN,MR,DN,6,0
2021-05-11,ICN,MR,LN,5,0
2021-05-11,ICN,PR,BK,54,6
2021-05-11,ICN,PR,DN,22,11
2021-05-11,ICN,PR,LN,49,5
